id,iso3,country_en,country_zh,region_en,region_zh,Type,local_id1,hasc1
258,DEU,Germany,德国,Saarland,萨尔兰州,State,10,DE.SL
259,DEU,Germany,德国,Mecklenburg-Vorpommern,梅克伦堡-前波美拉尼亚州,State,13,DE.MV
260,DEU,Germany,德国,Sachsen-Anhalt,萨克森-安哈尔特州,State,15,DE.ST
261,IND,India,印度,Kerala,喀拉拉邦,State,,IN.KL
262,IND,India,印度,Delhi,德里,Union Territory,,IN.DD
263,IND,India,印度,Telangana,特伦甘纳邦,State,,IN.TG
264,IND,India,印度,Rajasthan,拉贾斯坦邦,State,,IN.RJ
265,IND,India,印度,Haryana,哈里亚纳邦,State,,IN.HR
266,IND,India,印度,Uttar Pradesh,北方邦,State,,IN.UP
267,IND,India,印度,Ladakh,拉达克,Union Territory,,IN.LD
268,IND,India,印度,Tamil Nadu,泰米尔纳德邦,State,,IN.TN
269,IND,India,印度,Jammu and Kashmir,查谟和克什米尔,State,,IN.JK
270,IND,India,印度,Karnataka,卡纳塔克邦,State,,IN.KA
271,IND,India,印度,Maharashtra,马哈拉施特拉邦,State,,IN.MH
272,IND,India,印度,Punjab,旁遮普省,State,,IN.PB
273,IND,India,印度,Andhra Pradesh,安得拉邦,State,,IN.AP
274,IND,India,印度,Uttarakhand,北阿坎德邦,State,,IN.UT
275,IND,India,印度,Odisha,奥里萨邦,State,,IN.OR
276,IND,India,印度,Puducherry,本地治里,Union Territory,,IN.PY
277,IND,India,印度,West Bengal,西孟加拉邦,State,,IN.WB
278,IND,India,印度,Chandigarh,昌迪加尔,Union Territory,,IN.CH
279,IND,India,印度,Chhattisgarh,恰蒂斯加尔邦,State,,IN.CT
280,IND,India,印度,Gujarat,古吉拉特邦,State,,IN.GJ
281,IND,India,印度,Himachal Pradesh,喜马偕尔邦,Union Territory,,IN.HP
282,IND,India,印度,Madhya Pradesh,中央邦,State,,IN.MP
283,IND,India,印度,Bihar,比哈尔邦,State,,IN.BR
284,IND,India,印度,Manipur,曼尼普尔邦,State,,IN.MN
285,IND,India,印度,Mizoram,米佐拉姆邦,State,,IN.MZ
286,IND,India,印度,Goa,果阿邦,State,,IN.GA
287,IND,India,印度,Andaman and Nicobar Islands,安达曼-尼科巴群岛,Union Territory,,IN.AN
288,IND,India,印度,Jharkhand,贾坎德邦,State,,IN.JH
289,IND,India,印度,Assam,阿萨姆邦,State,,IN.AS
290,IND,India,印度,Arunachal Pradesh,阿鲁纳恰尔邦,State,,IN.AR
291,IND,India,印度,Dadra and Nagar Haveli,达德拉-纳加尔哈维利,Union Territory,,IN.DN
292,IND,India,印度,Tripura,特里普拉邦,State,,IN.TR
293,IND,India,印度,Nagaland,那加兰邦,State,,IN.NL
294,IND,India,印度,Meghalaya,梅加拉亚邦,State,,IN.ML
295,IND,India,印度,Sikkim,锡金,State,,IN.SK
296,IND,India,印度,NCT of Delhi,,Union Territor,,IN.DL
297,IDN,Indonesia,印度尼西亚,Aceh,亚齐特区,Province,11,ID.AC
298,IDN,Indonesia,印度尼西亚,Sumatera Utara,北苏门答腊省,Province,12,ID.SU
299,IDN,Indonesia,印度尼西亚,Sumatera Barat,西苏门答腊省,Province,13,ID.SB
300,IDN,Indonesia,印度尼西亚,Riau,廖内省,Province,14,ID.RI
301,IDN,Indonesia,印度尼西亚,Jambi,占碑省,Province,15,ID.JA
302,IDN,Indonesia,印度尼西亚,Sumatera Selatan,南苏门答腊省,Province,16,ID.SL
303,IDN,Indonesia,印度尼西亚,Bengkulu,明古鲁省,Province,17,ID.BE
304,IDN,Indonesia,印度尼西亚,Lampung,楠榜省,Province,18,ID.LA
305,IDN,Indonesia,印度尼西亚,Kepulauan Bangka Belitung,邦加-勿里洞省,,,
306,IDN,Indonesia,印度尼西亚,Kepulauan Riau,廖内群岛省,Province,21,ID.KR
307,IDN,Indonesia,印度尼西亚,DKI Jakarta,雅加达首都特区,,,
308,IDN,Indonesia,印度尼西亚,Jawa Barat,西爪哇省,Province,32,ID.JR
309,IDN,Indonesia,印度尼西亚,Jawa Tengah,中爪哇省,Province,33,ID.JT
310,IDN,Indonesia,印度尼西亚,DI Yogyakarta,日惹特区,,,
311,IDN,Indonesia,印度尼西亚,Jawa Timur,东爪哇省,Province,35,ID.JI
312,IDN,Indonesia,印度尼西亚,Banten,万丹省,Province,36,ID.BT
313,IDN,Indonesia,印度尼西亚,Bali,巴厘省,Province,51,ID.BA
314,IDN,Indonesia,印度尼西亚,Nusa Tenggara Barat,西努沙登加拉省,Province,52,ID.NB
315,IDN,Indonesia,印度尼西亚,Nusa Tenggara Timur,东努沙登加拉省,Province,53,ID.NT
316,IDN,Indonesia,印度尼西亚,Kalimantan Barat,西加里曼丹省,Province,61,ID.KB
317,IDN,Indonesia,印度尼西亚,Kalimantan Tengah,中加里曼丹省,Province,62,ID.KT
318,IDN,Indonesia,印度尼西亚,Kalimantan Selatan,南加里曼丹省,Province,63,ID.KS
319,IDN,Indonesia,印度尼西亚,Kalimantan Timur,东加里曼丹省,Province,64,ID.KM
